q1 \ q2,1,2,3,4,5,6,7,8,9,10
1,1,,,,,,,,,,
2,1,2,,,,,,,,,
3,1,3,6,,,,,,,,
4,1,4,9,18,,,,,,,
5,1,5,14,25,43,,,,,,
6,1,6,18,36,58,102,,,,,
7,1,7,23,49,80,113,205,,,,
8,1,8,28,58,101,132,217,282,,,
9,1,9,36,73,126,169,241,317,565,,
10,1,10,40,92,144,179,289,331,581,798,
